faq2_id,q_title,q_writer,q_date,question,a_depart,a_date,answer
1,서울대병원 주차장 시설 안전관리 관련 재조사 요청 (단순 전달 조치로는 미흡),임○○,2025-12-11 13:52:36,"안녕하십니까.
귀 기관의 반복 답변에 감사드리며, 아래 사유로 재차 민원을 제출드립니다.

이번 사안은 단순히 병원 내부의 요금 문제나 민사상 분쟁에 그치는 것이 아니라,
지자체가 감독·점검해야 하는 공공시설 안전관리 및 영조물 책임에 해당하는 사안임을 다시 한번 명확히 말씀드립니다.

1. 시설 귀책 가능성은 병원의 ‘추가요금 환불 조치’로 이미 일부 확인됩니다.

서울대학교병원은 사전정산 후 발생한 추가요금 8,000원을 환불하였습니다.
이는 출차 지연이 단순 이용자 귀책이 아니라 시설 운영·안전 문제 때문일 가능성이 높다는 점을 병원 스스로 인정한 조치로 볼 수 있습니다.

2. 반복적 사고 흔적 및 협소한 구조는 시설 안전점검 대상입니다.

해당 주차장에는 회전부 기둥과 보호패드에 여러 차량의 스크래치 흔적, 협소한 회전 반경, 미흡한 안전설비(반사경·보호패드·유도선 부족) 이 확인됩니다.

이는 반복사고 가능성이 높은 구조적 위험 요소이며, 「시설물의 안전 및 유지관리에 관한 법률」과 「건축물 관리법」에 따른 지자체의 현장점검 대상입니다.

3. 배상책임보험 미가입 여부는 공공성 있는 시설에 대한 중대한 행정 감독 사항입니다.

병원 측을 통해 해당 주차장이 배상책임보험에 가입되어 있지 않다는 사실을 확인했습니다.
공공성을 갖는 대형병원 부속시설이 보험에 미가입된 것은 이용자 보호시설 안전관리 측면에서 지자체가 반드시 확인하고 지도해야 할 사안입니다.

이는 민사 분쟁이 아니라 지자체의 행정적 감독 의무와 관련된 사항입니다.

4. CCTV 확인은 수사 목적이 아닌 행정 판단 목적으로 검토가 가능합니다.

구청에서는 CCTV 확인이 수사 영역이라고 답변하였으나,
지자체는 수사 목적이 아닌 행정 판단 목적으로 CCTV 내용을 검토할 수 있습니다.
이는 행정청의 관리·점검 범위 내에 있습니다.

5. 요청사항: 현장점검을 포함한 행정적 판단 요청

위와 같은 이유로, 이번 사안은 병원 단독의 결정이나 민사 문제로만 귀결될 수 있는 것이 아닙니다.
이에 아래 사항에 대해 구청의 현장점검을 포함한 재검토를 요청드립니다.

- 회전구간 및 구조적 협소 여부
- 반복 사고 가능성 및 보호설비 설치 적정성
- 안전시설 강화 필요 여부
- 운영 시스템(사전정산, 정체추가요금)의 적정성
- 배상책임보험 미가입의 적정성

적극적인 검토를 부탁드립니다.

전차 답변에서 병원 측에 내용을 전달하셨다고 하였으나,
본 사안은 단순 전달로 해결될 성격이 아니라
시설 안전성, 반복 사고 가능성, 배상책임보험 미가입 여부 등 지자체의 직접적 행정 판단이 필요한 사항입니다.
단순 안내 조치만으로는 민원의 본질적 해결이 이루어질 수 없음을 다시 한 번 말씀드립니다.

감사합니다.",도시관리국 건축과,2025-12-15 10:31:21,귀하께서 요구하신 기 답변에 대한 재답변 요구에 대하여 「민원처리에 관한 법률」제23조(반복 및 중복 민원처리)에 따라 종전 민원과 내용적 유사성·관련성 및 동일한 답변을 할 수 밖에 없는 사정 등을 종합적으로 고려하여 기 답변자료로 갈음하고자 하오니 양해하여 주시기 바랍니다. 답변에 대하여 더욱 궁금하신 사항이 있으시면 우리구 건축과 담당 임요셉 주무관(☎ 02-2148-2782)에게 연락주시면 성심성의껏 안내드리겠습니다. 감사합니다. 끝.
2,종로구 부암동 제설함 염화칼슘 부족 및 제설 차량 늦은 투입으로 인한 교통불편 개,성○○,2025-12-05 12:40:43,"안녕하세요
종로구 부암동 주민입니다.
자하문로 260-4 부근 제설함 부족 및 제설 도구, 염화칼슘이 너무 부족했습니다.
이미 비어있는 제설함도 많았고, 갑작스러운 자연재해에 대처를 하기가 어려웠습니다.

어제 같은 폭설에 제설 차량 늦은 투입으로 경복궁역 - 자하문 터널까지 3:00간 정체가 발생했습니다. (이게 서울에서 가능한 일일까요?)
그러던 중 주차 단속 차량 공무원은 차량을 길가 중간에 세워 꼬리물기 단속 촬영하는 모습까지 보이더군요...
자연재해로 사람들이 정체로 움직이지 못하는 상황인데 교통정리를 돕기를 커녕
단속에 빠져있는 모습이 참으로 안타깝네요...

인명피해보다 단속이 먼저라는 부분이 우리 구가 지양하는 모습이구나 했습니다.

1. 제설함 염화칼슘 부족
2. 제설 차량 빠른 무대응
3. 열선 추가 설치 건의 (유원 빌라 오르막길) 260-4",부암동,2025-12-16 15:07:53,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 제설제 보충 요청과 제설 차량을 활용한 제설 작업에 관한 것으로 판단됩니다.

3. 저희 동에서는 강설에 대비하여 해당 장소에 제설제를 사전에 보충해 두었으나, 폭설로 인해 인근 주민들께서 빠르게 사용하시어 제설제가 소진된 것으로 여겨집니다. 현장 확인 후, 일대 제설함에 제설제를 보충 완료하였음을 알려드립니다.또한 제설 차량 운영과 관련하여 말씀하신 구간인 간선도로 제설을 소관하는 서울특별시 북부도로사업소에서 퇴근 시간대와 겹쳐 도로의 제설작업에 어려움이 있었던 것으로 파악됩니다. 동 주민센터에서는 이면도로의 제설 작업을 신속하게 진행해야 했기에 간선도로의 제설을 진행하기에는 어려움이 있었습니다.
폭설로 인해 퇴근길에 큰 불편을 겪으신 점에 대하여 사과드리며, 앞으로 해당 구역을 비롯한 부암동 제설 작업 및 제설함 보충 작업에 대해 더욱 세심하게 신경쓰도록 하겠습니다.

4. 추가 문의사항이 있으실 경우 부암동주민센터 성용화 주무관(☎02-2148-5093)에게연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다. 끝."
3,창신길이 불법 주정차 구역인지 확인하고 싶어요,김○○,2025-11-24 14:50:40,"안녕하세요.
서울시 종로구 창신길 관련하여 주정차 단속 여부에 대해 문의드립니다.

창신길은 인도와 차도가 구분되지 않은 도로로, 보행자와 차량이 뒤섞여 통행하는 구조라 안전사고 위험이 상존하고 있습니다. 특히 오토바이 통행도 많아 보행 환경이 더욱 불안정한 상황입니다.

이와 더불어 도로 양측에 차량과 오토바이가 상시 주정차하고 있어 차량 한 대가 겨우 통과할 정도로 통행이 매우 어려운 상태입니다. 최근 창신소담공영주차장이 신설되어 별도의 주차 공간이 확보된 상황에서도 불법 주정차가 지속되고 있습니다.

이에 따라 아래 사항에 대해 확인 요청드립니다.

1. 창신길 양측에 주정차하는 차량들이 불법주정차 단속 대상에 해당하는지
2. 불법주정차 단속 구역에 해당 한다면 단속대상 시간이 있는지 (평일, 주말 및 공휴일에 따라 변동되는지)

확인 부탁드립니다. 감사합니다.",도시재생국 주차관리과,2025-11-28 10:55:55,"1. 우리 구정 발전을 위하여 협조하여 주시는 귀하께 감사드립니다.
2. 귀하께서 제기하신 민원은 창신길 일대 주정차 단속 여부 및 단속 시간에 관한 사항으로 이해되어 다음과 같이 답변드립니다.
3. 먼저, 창신길은 인도와 차도가 명확히 구분되지 않은 보행 취약 구간으로, 차량 및 오토바이의 상시 주정차로 통행 불편을 겪으신 점에 대해 사과드립니다.
4. 창신길은 상시 주정차 금지구역으로 지정되어 있어 불법 주정차 시 「도로교통법」에 따른 단속 대상에 해당합니다. 다만, 시장길의 특성을 고려하여 물품 상·하차가 필요한 경우에는 일정 범위 내에서 단속을 유예하고 있음을 알려드립니다.
5. 현재 우리 구에서는 창신길 일대에 고정형 CCTV 2대를 설치하여 24시간 주정차 단속을 실시하고 있으며, 불법 주정차 신고 접수 시(다산콜센터 02-120 또는 주정차 단속팀 02-2148-3374·3375) 현장 확인 후 즉시 단속 및 이동조치를 하고 있습니다. 또한, 최근 신설된 창신소담공영주차장 등 인근 주차시설을 적극 활용하실 수 있도록 관련 부서와 협업하여 지속적으로 안내할 예정입니다.
6. 귀하의 관심과 제보는 원활한 차량 소통과 보행 안전 확보에 큰 도움이 되고 있으며, 앞으로도 쾌적한 도로환경 조성을 위해 최선을 다하겠습니다. 귀하의 건강과 행복을 기원합니다. 끝."
4,관광버스 불법 주차 단속 철저히,이○○,2025-11-16 15:11:11,"국립현대미술관과 경복궁
경복궁역 공항버스 정류장에 혼잡하게 불법 주차를
오랜시간 지속적으로 하고 있습니다
철저한 단속과 제지가 필요합니다
그로인해 교통 혼잡하고 통행도 불편합니다
부탁드립니다
감사합니다^^",도시재생국 주차관리과,2025-11-24 10:22:30,"1. 안녕하십니까? 귀하께서 제기하신 민원은 경복궁 주변 삼청로 등 일대 공항버스 정류장 인근에서의 지속적인 불법주정차로 인한 교통 혼잡과 통행 불편 해소를 요청하신 것으로 이해됩니다.

2. 먼저, 경복궁 주변 일대 관광버스 대기행렬로 인한 교통 체증과 주민 불편에 대해 깊은 유감을 표합니다. 특히 관광성수기에는 해당 지역에 관광버스가 집중되어 교통 혼잡을 가중시키고 있는 점을 잘 인지하고 있으며, 이 문제를 해결하기 위해 지속적으로 노력하고 있습니다.

3. 다만, 관광버스가 경복궁 동측 주차장으로 진입하기 위해 대기하는 차량은 주행 상태로 간주되기 때문에 도로교통법 상 불법주정차로 간주되지 않아 단속에 한계가 있음을 양해해 주시기 바랍니다.

4. 그럼에도 불구하고, 우리 구는 경복궁 동측에 불법주정차 단속용 CCTV를 추가 설치하고, 관광객이 많은 행락철 및 성수기 기간에는 주행형 CCTV를 활용한 순회 단속을 강화하고 있습니다. 또한, 경복궁 주변 교통질서 안내요원을 고정 배치하고 더불어 종로경찰서와 협조하여 교통통제와 안전조치를 강화하고 있음을 알려드립니다.

5. 또한, 서울시는 송현문화공원에 관광버스 주차장을 조성하여 경복궁 일대 관광버스 주차난을 해소할 계획이므로, 중장기적으로 문제 해결에 기여할 것으로 기대하고 있습니다.

6. 향후에도 종로구는 교통 불편을 최소화하고 관광버스 주차 문제 해결을 위해 관련 기관과 협력하여 지속적으로 노력할 것을 안내드립니다.

7. 귀하께서 겪고 계신 불편에 대해 깊이 공감하며, 이를 해소하기 위한 최선의 노력을 다할 것입니다. 귀하의 소중한 관심에 감사드리며, 건강과 행복이 늘 함께 하시기를 기원합니다. 추가 문의사항이 있으시면 종로구 주차관리과 이승훈 주무관(☎ 02-2148-3372)에게 연락 주시면 자세히 안내드리겠습니다. 감사합니다. 끝."
5,황학정 주차장 흡연구역 철거 및 주변환경 정비,최○○,2025-11-13 21:52:44,"종로구 황학정 주차장 내 흡연구역과 관련하여 심각한 안전 및 환경 문제로 민원을 제기합니다.

해당 흡연구역은 황학정 행사 기간에 한시적으로 설치된 것으로 알고 있습니다. 그러나 행사가 종료된 지 상당한 시간이 지났음에도 불구하고, 흡연구역이 철거되지 않은 채 그대로 유지되고 있습니다.
현재 그 주변에는 담배꽁초와 일반 쓰레기가 무분별하게 버려져 있으며, 위치상 인왕산 입구 바로 인근으로, 화재 위험이 매우 높은 구간입니다. 가을철 건조한 시기인 지금, 단 한 개의 담배꽁초로도 큰 산불로 이어질 수 있는 상황입니다.
그럼에도 불구하고, 일부 직원들의 요구로 흡연구역을 계속 유지하고 있다는 이야기가 들려 매우 유감스럽습니다.
공공시설은 개인의 편의를 위한 공간이 아니라, 주민의 안전과 공익을 최우선으로 해야 합니다.

이에 다음 사항을 강력히 요청드립니다.

1. 황학정 주차장 내 임시 흡연구역의 즉시 철거

2. 주변 담배꽁초 및 쓰레기 전면 정비

3. 인왕산 입구 주변 화재 예방 점검 및 순찰 강화 조치

이 문제는 단순한 환경 미화 차원을 넘어, 주민 안전과 산불 예방의 긴급 사안입니다.
종로구청의 신속하고 책임 있는 조치를 요청드립니다.
감사합니다.",도시관리국 도시녹지과,2025-11-26 09:04:34,"[민원 처리에 관한 법률] 제23조(반복 및 중복 민원의 처리)에 따라 종결처리하오니 기답변을 참고하시길 바랍니다.

제23조(반복 및 중복 민원의 처리)

① 행정기관의 장은 민원인이 동일한 내용의 민원(법정민원을 제외한다. 이하 이 조에서 같다)을 정당한 사유 없이 3회 이상 반복하여 제출한 경우에는 2회 이상 그 처리결과를 통지하고, 그 후에 접수되는 민원에 대하여는 종결처리할 수 있다."
6,낙산냉면으로 인한 주민불편,김○○,2025-11-02 22:00:55,"지봉로 5길8 낙산냉면 앞 이면도로 매일같이 반복되는 가게앞 불법주차로 인한 차량 교행불가 및 창일공영주차장 입차불가문제 몇년째 반복되는 상황인데 낙산냉면도 나몰라라 종로구청도 나몰라라 인근 거주하는 주민들만 몇년째 피해를 보는 상황입니다
창일공영주차장은 사실상 거주자우선 주차장인데 낙산냉면 손님들이 입차가 안되는 상황인데도 출입구를 막고있어서 거주자들은 입차를 못하는 상황입니다
다산콜센터에 전화해서 단속요청을해도 2시간뒤에 단속을하러 나오니 이미 상황은 종료된 상황
지금까지 몇년을 고통받으며 살고있는데 앞으로도 몇년동안 더 고통을 받아야되는지
낙산냉면과 종로구청은 이 상황을 언제까지 모른척할껀지 아니면 누가가서 가게에 불이라도 질러야 이 상황이 끝날지 모르겠습니다",도시재생국 주차관리과,2025-11-11 10:29:35,"1. 우리 구 구정발전을 위해 협조하여 주시는 귀하께 감사드립니다.
2. 귀하께서 제기하신 민원은 지봉로5길8(낙산냉면앞) 일대 불법주차로 인한 차량 교행불가 및 창일공영주차장 입차불가로 불편하신 사항을 제기 하신 것으로 이해되어 아래와 같이 답변드리 겠습니다.
3. 먼저, 해당 지역의 불법주차로 인해 장기간 교통 불편을 겪고 계신 점에 대해 깊이 공감하며, 불편을 드린 점 진심으로 죄송합니다
4. 현재 해당 구간 주변은 폭이 협소한 이면도로가 이어진 구간으로 음식점 방문 차량 및 인근 상가 이용 차량의 불법주정차가 자주 발생하는 지역으로 주민 불편을 최소화하고 안전을 확보하기 위해 고정형 CCTV단속을 설치하여 24시간 집중 단속하고 있는 구간입니다. 또한 병행하여 민원접수 시 과태료 위주의 현장단속을 실시하고 있습니다.
5. 다만, 낙산냉면 등 지역상권 주변에는 점심시간대(11:00~13:30) 도로통행에 장애를 주지 않는 범위 안에서 단속을 완화하여 지역경제 활성화를 도모하고 있음을 양해해 주시기 바랍니다. 도로통행 장애 및 사고위험성이 있는 경우 과태료 부과 단속을 하고 있습니다.
6. 앞으로도 우리 구는 구민들의 안전과 편의를 최우선으로 고려하면서, 교통여건과 지역경제 활성화를 균형 있게 반영할 수 있도록 다각적인 방안을 계속 모색해 나가겠습니다.
7. 귀하의 상심에 깊은 위로의 말씀을 드리며 추가적인 문의사항이 있으실 경우 주차관리과 김선희(☎ 02-2148-3373)에게 연락주시면 안내 드리도록 하겠습니다. 감사합니다. 끝."
7,도로앞 불법 자재물 (할리우드)_6,김○○,2025-11-01 01:48:23,"저의집 앞에 사람이 지나갈수 있는 도로앞 불법 자재물 신고 및 민원신청합니다.
특히 할리우드(낙산성곽서길 101)이라는 집에서 각종 자제물 을 쌓아 놓습니다.
주민분들 및 관광색들이 불편하시고 또한 저도 많이 불편 합니다. 제가 직접 말씀해도
말로만 치우신다고 해놓고 절대로 안하십니다.
단속반이 몇 번 와서 경고 딱지 스티커만 붙이고 특별한 단속이 없습니다.
점심 및 저녁에는 할리우드(낙산성곽서길 101)가 시끄럽께 노래를 틀어놔서 저의집 까지 울립니다.
다른 주민분들 및 저도 진짜 많이 참았습니다. 사람이로서 예의는 지켜야 되지 않겠습니까?
특히 자제물 쌓은지가 7년 되었습니다.
자기네 땅 주인하는것 처럼 자재물이나 차도 6~7를 대놨습니다. 다른 주민분들이 주차를 못하십니다.
공공장소에서 이러는게 맞습니까?
경고 딱지에 10월30일이 지났습니다. 강한처벌과 엄격한 대응 조치가 필요합니다. 빠른 조치 부탁드립니다.",도시재생국 주차관리과,2025-11-10 16:57:14,"1 우리 구 구정발전을 위해 협조하여 주시는 귀하께 감사드립니다.
2. 귀하께서 접수해 주신 민원은 할리우드(낙산성곽서길 101)카페에서 도로에
주차시킨 차량들로 인해 불편하다는 의견으로 이해되어 이에대한 답변을 드립니다.
3. 귀하가 지적하신 낙산성곽서길 101 주변 현장 확인 결과 해당 구간은 [도로교통법]제32조 제7호
및 제33조 제3호에 따른 주정차 금지 표시(황색 점, 실선)가 설치되어 있지 않아 현재 법적 근 거에 따른 직접적인 단속 및 과태료 부과에는 한계가 있음을 알려드립니다.
4. 주차단속팀에서는 현장 질서 유지를 위해 지속적으로 모니터링하고 실질적인 개선이 이 루어 지도록 노력 하겠습니다.
5. 기타불편이 있을 시 다산콜센터(02-120) 및 단속반(02-2148-3374~5) 으로 연락해 주시면 최대한 신속한 조치가 되도록 하겠습니다. 끝."
8,도로앞 불법 자재물 (할리우드)_5,김○○,2025-11-01 01:46:35,"저의집 앞에 사람이 지나갈수 있는 도로앞 불법 자재물 신고 및 민원신청합니다.
특히 할리우드(낙산성곽서길 101)이라는 집에서 각종 자제물 을 쌓아 놓습니다.
주민분들 및 관광색들이 불편하시고 또한 저도 많이 불편 합니다. 제가 직접 말씀해도
말로만 치우신다고 해놓고 절대로 안하십니다.
단속반이 몇 번 와서 경고 딱지 스티커만 붙이고 특별한 단속이 없습니다.
점심 및 저녁에는 할리우드(낙산성곽서길 101)가 시끄럽께 노래를 틀어놔서 저의집 까지 울립니다.
다른 주민분들 및 저도 진짜 많이 참았습니다. 사람이로서 예의는 지켜야 되지 않겠습니까?
특히 자제물 쌓은지가 7년 되었습니다.
자기네 땅 주인하는것 처럼 자재물이나 차도 6~7를 대놨습니다. 다른 주민분들이 주차를 못하십니다.
공공장소에서 이러는게 맞습니까?
경고 딱지에 10월30일이 지났습니다. 강한처벌과 엄격한 대응 조치가 필요합니다. 빠른 조치 부탁드립니다.",도시재생국 주차관리과,2025-11-10 16:57:12,"1 우리 구 구정발전을 위해 협조하여 주시는 귀하께 감사드립니다.
2. 귀하께서 접수해 주신 민원은 할리우드(낙산성곽서길 101)카페에서 도로에
주차시킨 차량들로 인해 불편하다는 의견으로 이해되어 이에대한 답변을 드립니다.
3. 귀하가 지적하신 낙산성곽서길 101 주변 현장 확인 결과 해당 구간은 [도로교통법]제32조 제7호
및 제33조 제3호에 따른 주정차 금지 표시(황색 점, 실선)가 설치되어 있지 않아 현재 법적 근 거에 따른 직접적인 단속 및 과태료 부과에는 한계가 있음을 알려드립니다.
4. 주차단속팀에서는 현장 질서 유지를 위해 지속적으로 모니터링하고 실질적인 개선이 이 루어 지도록 노력 하겠습니다.
5. 기타불편이 있을 시 다산콜센터(02-120) 및 단속반(02-2148-3374~5) 으로 연락해 주시면 최대한 신속한 조치가 되도록 하겠습니다. 끝."
9,도로앞 불법 자재물 (할리우드)_4,김○○,2025-11-01 01:44:10,"저의집 앞에 사람이 지나갈수 있는 도로앞 불법 자재물 신고 및 민원신청합니다.
특히 할리우드(낙산성곽서길 101)이라는 집에서 각종 자제물 을 쌓아 놓습니다.
주민분들 및 관광색들이 불편하시고 또한 저도 많이 불편 합니다. 제가 직접 말씀해도
말로만 치우신다고 해놓고 절대로 안하십니다.
단속반이 몇 번 와서 경고 딱지 스티커만 붙이고 특별한 단속이 없습니다.
점심 및 저녁에는 할리우드(낙산성곽서길 101)가 시끄럽께 노래를 틀어놔서 저의집 까지 울립니다.
다른 주민분들 및 저도 진짜 많이 참았습니다. 사람이로서 예의는 지켜야 되지 않겠습니까?
특히 자제물 쌓은지가 7년 되었습니다.
자기네 땅 주인하는것 처럼 자재물이나 차도 6~7를 대놨습니다. 다른 주민분들이 주차를 못하십니다.
공공장소에서 이러는게 맞습니까?
경고 딱지에 10월30일이 지났습니다. 강한처벌과 엄격한 대응 조치가 필요합니다. 빠른 조치 부탁드립니다.",도시재생국 주차관리과,2025-11-10 16:57:11,"1 우리 구 구정발전을 위해 협조하여 주시는 귀하께 감사드립니다.
2. 귀하께서 접수해 주신 민원은 할리우드(낙산성곽서길 101)카페에서 도로에
주차시킨 차량들로 인해 불편하다는 의견으로 이해되어 이에대한 답변을 드립니다.
3. 귀하가 지적하신 낙산성곽서길 101 주변 현장 확인 결과 해당 구간은 [도로교통법]제32조 제7호
및 제33조 제3호에 따른 주정차 금지 표시(황색 점, 실선)가 설치되어 있지 않아 현재 법적 근 거에 따른 직접적인 단속 및 과태료 부과에는 한계가 있음을 알려드립니다.
4. 주차단속팀에서는 현장 질서 유지를 위해 지속적으로 모니터링하고 실질적인 개선이 이 루어 지도록 노력 하겠습니다.
5. 기타불편이 있을 시 다산콜센터(02-120) 및 단속반(02-2148-3374~5) 으로 연락해 주시면 최대한 신속한 조치가 되도록 하겠습니다. 끝."
10,도로앞 불법 자재물 (할리우드),이○○,2025-11-01 01:41:29,"저의집 앞에 사람이 지나갈수 있는 도로앞 불법 자재물 신고 및 민원신청합니다.
특히 할리우드(낙산성곽서길 101)이라는 집에서 각종 자제물 을 쌓아 놓습니다.
주민분들 및 관광색들이 불편하시고 또한 저도 많이 불편 합니다. 제가 직접 말씀해도
말로만 치우신다고 해놓고 절대로 안하십니다.
단속반이 몇 번 와서 경고 딱지 스티커만 붙이고 특별한 단속이 없습니다.
점심 및 저녁에는 할리우드(낙산성곽서길 101)가 시끄럽께 노래를 틀어놔서 저의집 까지 울립니다.
다른 주민분들 및 저도 진짜 많이 참았습니다. 사람이로서 예의는 지켜야 되지 않겠습니까?
특히 자제물 쌓은지가 7년 되었습니다.
자기네 땅 주인하는것 처럼 자재물이나 차도 6~7를 대놨습니다. 다른 주민분들이 주차를 못하십니다.
공공장소에서 이러는게 맞습니까?
경고 딱지에 10월30일이 지났습니다. 강한처벌과 엄격한 대응 조치가 필요합니다. 빠른 조치 부탁드립니다.",도시안전국 가로정비과,2025-11-07 13:30:13,"1. 안녕하십니까? 구정에 많은 관심을 주셔서 진심으로 감사드리며, 제기하신 민원에 대하여 아래와 같이 회신하여 드립니다.

가. 민원요지
○ 적치물 신고
나. 답변내용
○ 해당 적치물로 인해 통행에 불편을 끼쳐 송구스럽게 생각합니다. 현장 단속반이 해당 적치물을 강제수거하였습니다. 추가 적치상황이 발생하지 않도록 앞으로도 지속적으로 순찰하겠습니다.
○ 구정발전을 위해 귀한 의견 주셔서 다시 한번 감사드리며 쾌적한 보행환경을 조성하기 위해 노력을 다하겠습니다.

2. 추가 문의사항은 종로구 가로정비과(02-2148-2717)로 연락 주시면 친절히 답변해 드리겠습니다. 감사합니다.

붙임 현장사진 1부. 끝.

※ 첨부파일 :
현장사진.jpg"
