주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
171721,세종로 공영주차장(시),종로구 세종로 80-1,NW,노외 주차장,1,시간제 주차장,02-2290-6566,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2026-04-06 17:29:10,N,무료,N,무료,176000.0,,430.0,5.0,430.0,5.0,0.0,0.0,0.0,0.0,,37.57340269,126.97588429
171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,NW,노외 주차장,1,시간제 주차장,02-2290-6166,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1312,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2026-04-06 17:15:03,N,무료,N,무료,175000.0,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,,37.57150398,126.99496888
1208601,청계2(북2) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 11:27:30,N,무료,Y,유료,0.0,1111015500003.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.568867743333335,126.99664286888888
1210657,청계3(북1) 공영주차장(시),종로구 예지동 140-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 13:44:40,N,무료,Y,유료,0.0,1111015800003.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.56943612789474,126.99990201000001
1369476,탑골공원 관광버스전용 주차장(시),종로구 종로2가 38-4,NS,노상 주차장,4,버스전용 주차장,02)2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,N,무료,N,야간 미개방,0,0,0.0,0.0,0.0,0.0,2026-04-07 13:37:13,Y,유료,Y,유료,0.0,1111013800003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.57130525,126.98776441000001
1385457,신문로 공영주차장(구),종로구 신문로1가 58-36,NW,노외 주차장,1,시간제 주차장,02-6048-1234,0,미연계중,30,Y,유료,N,야간 미개방,900,1900,900.0,1900.0,900.0,1900.0,2023-07-14 16:50:53,N,무료,N,무료,350000.0,,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,,
1386536,서울글로벌센터 공영주차장(시),종로구 서린동 63-0,NW,노외 주차장,1,시간제 주차장,02-720-9862,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),44,Y,유료,N,야간 미개방,900,1800,0.0,0.0,0.0,0.0,2026-04-06 17:27:44,Y,유료,Y,유료,336000.0,,700.0,5.0,700.0,5.0,0.0,0.0,0.0,0.0,,37.56983402,126.98150586
1451364,청계7가 공영주차장(시),종로구 창신동 436-87,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 11:28:38,N,무료,Y,유료,0.0,1111017400026.0,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,37.57131480358974,127.01943469692308
1451370,동순라길(종묘) 관광버스전용 주차장(시),종로구 인의동 107-1,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,N,무료,N,야간 미개방,0,0,0.0,0.0,0.0,0.0,2026-04-07 13:35:24,Y,유료,Y,유료,0.0,1111015700003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.572772682,126.99675077399999
1451371,세운상가밑(구),종로구 장사동 116-3,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2019-06-10 10:01:24,N,무료,Y,유료,250000.0,1111015400003.0,500.0,5.0,1000.0,10.0,0.0,0.0,0.0,0.0,0.0,,
