parking_id,parking_name,lot_category,lot_type,operation_rule,district,address,latitude,longitude,phone,capacity,pay_type,base_fee,base_time,add_fee,add_time,day_max_fee,monthly_fee,weekday_start,weekday_end,weekend_start,weekend_end,holiday_start,holiday_end,source
2987155,ABL생명빌딩 주차장,민영,부설,미연계,종로구,종로구 숭인동 1383-0,37.574589,127.021938,,57,유료,2000,30,1000,15,,,700,2200,700,2200,700,2200,seoul_site
984489,94빌딩,민영,부설,미연계,종로구,종로구 공평동 144-0,37.57182562,126.98233785,02-1688-1054,63,유료,3000,30,1000,10,130000,200000,600,2300,600,2300,600,2300,seoul_site
2975669,AJ파크 종로관훈(민영),민영,노외,미연계,종로구,종로구 관훈동 112-4,37.575524,126.984307,02-735-1800,78,유료,2000,20,1200,10,33000,260000,0,2400,0,2400,0,2400,seoul_site
2987609,AJ파크 해영회관점(민영),민영,노외,미연계,종로구,종로구 안국동 117-0,37.576793,126.98481,02-733-8564,75,유료,2000,30,1000,15,28000,220000,0,2400,0,2400,0,2400,seoul_site
3148011,CGV대학로 고객 주차장,민영,부설,미연계,종로구,종로구 명륜2가 41-9,37.58346,126.999864,,49,유료,5000,180,2000,30,0,0,0,2400,0,2400,0,2400,seoul_site
2985068,GS타임즈 경운(민영),민영,노외,미연계,종로구,종로구 경운동 65-0,37.57451,126.986124,080-330-3600,16,유료,3000,30,1000,10,0,0,0,2400,0,2400,0,2400,seoul_site
3245927,GS타임즈 대학로(민영),민영,노외,미연계,종로구,종로구 동숭동 1-138,37.580341,127.003699,,15,유료,2000,30,2000,30,,,0,0,0,0,0,0,seoul_site
3245933,GS타임즈 동묘 주차장(민영),민영,노외,미연계,종로구,종로구 창신동 401-8,37.5703398,127.0154293,,20,유료,3000,20,900,10,,,0,0,0,0,0,0,seoul_site
3245944,GS타임즈 익선동(민영),민영,노외,미연계,종로구,종로구 와룡동 80-1,37.5751482,126.9909787,,16,유료,600,5,600,5,,,0,0,0,0,0,0,seoul_site
2976839,GS타임즈 인사(S&S)(민영),민영,노외,미연계,종로구,종로구 견지동 101-0,37.572723,126.983447,080-330-3600,46,유료,1000,10,1000,10,35000,,0,2400,0,2400,0,2400,seoul_site
3085883,MYCJ(민영),민영,노외,미연계,종로구,종로구 내자동 167-1,37.57529,126.970457,02-737-7366,11,유료,3000,30,5000,60,25000,15000,830,2230,830,2230,830,2230,seoul_site
1912876,NH농협타워,민영,부설,미연계,종로구,종로구 평동 222-0,37.566715,126.966361,010-5459-4518,319,유료,1000,10,1000,10,30000,250000,0,2359,0,2359,0,2359,seoul_site
3091482,SJA빌딩 주차장,민영,부설,미연계,종로구,종로구 연건동 39-0,37.579143,127.001817,,29,유료,3000,60,500,10,10000,120000,900,1900,900,1900,900,1000,seoul_site
3082175,S타워,민영,부설,미연계,종로구,종로구 신문로1가 116-0,37.569692,126.973943,0,247,유료,1000,15,1000,15,16500,242000,0,0,0,0,0,0,seoul_site
3245940,갈비예찬 (대승 주차장)(민영),민영,노외,미연계,종로구,종로구 숭인동 1383-2,37.5717816,127.019581,,25,유료,2000,30,1000,10,30000,,0,0,0,0,0,0,seoul_site
171813,갈비예찬(민영),민영,노외,미연계,종로구,종로구 숭인동 1383-2,37.57455972,127.02166496,,25,유료,3000,30,1000,10,30000,150000,0,2400,0,2400,0,2400,seoul_site
3032563,강북삼성병원 주차장,민영,부설,미연계,종로구,종로구 평동 108-1,37.568048,126.967775,,300,유료,1500,30,500,10,30000,,0,2400,0,2400,0,2400,seoul_site
3032224,강원(민영),민영,노외,미연계,종로구,종로구 창신동 285-0,37.573375,127.015032,02-763-1119,15,유료,2000,30,2000,30,10000,120000,900,2100,900,2100,900,2100,seoul_site
3248406,건국빌딩,민영,부설,20분,종로구,종로구 낙원동 280-4,37.573537,126.987302,070-7119-2062,104,유료,2200,15,2200,15,,275000,0,2400,0,2400,0,2400,seoul_site
1913638,경복궁 주차장,민영,부설,20분,종로구,종로구 세종로 1-1,37.576926,126.9791106,02-736-9536,266,유료,3000,120,800,10,0,0,0,0,0,0,0,0,seoul_site
3075778,경희궁의아침 2단지 주차장,민영,부설,미연계,종로구,종로구 내수동 71-0,37.573944,126.971244,0,377,유료,6000,60,3000,30,,132000,0,2400,0,2400,0,2400,seoul_site
3083196,경희궁의아침 4단지 주차장,민영,부설,미연계,종로구,종로구 내수동 73-0,37.57261,126.972247,0,230,유료,3000,60,500,10,,,0,2400,0,2400,0,2400,seoul_site
3033406,경희궁자이4단지 주차장,민영,부설,미연계,종로구,종로구 교북동 126-0,37.571514,126.961383,,301,유료,3000,60,500,10,,,0,0,0,0,0,0,seoul_site
3173185,계명주차장(민영),민영,노외,미연계,종로구,종로구 숭인동 1063-0,37.575458,127.022056,02-1599-5400,47,유료,2000,30,1000,10,,,700,2300,700,2300,700,2300,seoul_site
3245921,고궁주차장(민영),민영,노외,미연계,종로구,종로구 원남동 171-2,37.575937,126.996566,,20,유료,2000,30,2000,30,,,0,0,0,0,0,0,seoul_site
3082692,고려(민영),민영,노외,미연계,종로구,종로구 신문로1가 37-0,37.570696,126.973999,02-733-0418,140,유료,500,10,500,10,15000,132000,600,2300,600,2300,600,2300,seoul_site
1584298,관수(민영),민영,노외,미연계,종로구,종로구 관수동 143-7,37.56898524,126.99014499,,5,무료,,,,,,,0,0,0,0,0,0,seoul_site
2973967,관정빌딩 주차장,민영,부설,미연계,종로구,종로구 서린동 88-0,37.569393,126.98142,0,145,유료,2000,30,2000,30,,,600,1900,0,0,0,0,seoul_site
1452338,관철동 공영주차장(시),공영,노상,20분,종로구,종로구 관철동 13-14,37.56844012714286,126.98628076428572,02-738-0909,7,유료,430,5,430,5,0,0,900,2200,900,1400,0,0,seoul_site
3246795,광장주차장(민영),민영,노외,미연계,종로구,종로구 효제동 251-1,37.5719147,127.0022965,01036303170,,무료,,,,,,,0,0,0,0,0,0,seoul_site
2966070,광화문 D타워,민영,부설,20분,종로구,종로구 청진동 246-0,37.57111,126.978915,02-1688-1054,356,유료,3000,20,1500,10,50000,,0,2400,0,2400,0,2400,seoul_site
3030153,광화문 풍림스페이스본1차,민영,부설,미연계,종로구,종로구 사직동 9-0,37.574328,126.968936,0,1480,유료,1500,10,1500,10,35000,150000,0,2400,0,2400,0,2400,seoul_site
3085397,광화문 플래티넘 오피스텔 주차장,민영,부설,미연계,종로구,종로구 적선동 156-0,37.574449,126.973598,0,113,유료,2000,30,1000,10,20000,0,700,2200,700,2200,0,0,seoul_site
1451529,광화문빌딩(구),공영,노상,미연계,종로구,종로구 당주동 40-9,37.571574495625,126.97368175312499,,16,유료,500,5,1000,10,0,250000,1000,2200,1000,1800,1000,1800,seoul_site
3082176,광화문오피시아빌딩,민영,부설,미연계,종로구,종로구 신문로1가 163-0,37.569711,126.974909,0,463,유료,0,15,1000,10,20000,187000,0,0,0,0,0,0,seoul_site
3016934,교남 공영주차장(구),공영,노외,미연계,종로구,종로구 행촌동 1-53,37.572813,126.963888,,30,유료,300,5,300,5,,,0,2400,0,2400,0,2400,seoul_site
899187,교보생명 본사사옥[광화문 5호점],민영,부설,미연계,종로구,종로구 종로1가 1-0,37.57061469,126.97807912,0,412,유료,2000,20,1000,10,0,253000,600,2400,600,2400,600,2400,seoul_site
1416258,국립현대미술관 서울관,공영,부설,20분,종로구,종로구 소격동 165-0,37.57951713,126.98059114,02-3701-9841~4,384,유료,3000,60,500,10,20000,0,800,2300,800,2300,800,2300,seoul_site
3245923,국원주차장(민영),민영,노외,미연계,종로구,종로구 운니동 114-8,37.576821,126.986658,,17,유료,2000,30,1000,15,,,0,0,0,0,0,0,seoul_site
2998141,국일관 드림펠리스,민영,부설,미연계,종로구,종로구 관수동 20-0,37.569706,126.989999,0503-7745-1239,131,유료,2000,30,1000,15,,,630,2400,630,2400,630,2400,seoul_site
1437012,그랑서울 주차장,민영,부설,20분,종로구,종로구 청진동 70-0,37.57107565,126.98138243,02-2158-7993,754,유료,2000,15,2000,15,40000,250000,0,2400,0,2400,0,2400,seoul_site
2924180,금미주차장(민영),민영,노외,미연계,종로구,종로구 효제동 174-7,37.572001,127.005298,02-762-8837,27,유료,2000,20,1000,10,,,700,1900,700,1700,700,1900,seoul_site
3052251,끄레아(민영),민영,노외,미연계,종로구,종로구 통의동 79-0,37.578541,126.9724,02-723-1942,45,유료,1000,10,1000,10,40000,200000,800,2300,900,2200,900,2200,seoul_site
3215848,낙산 공영주차장(구),공영,노외,미연계,종로구,종로구 창신동 23-343,37.5773975,127.012171,02-6048-1234,50,유료,200,5,200,5,,,0,2400,0,2400,0,2400,seoul_site
1451410,낙산성곽 버스전용 주차장(구),공영,노상,미연계,종로구,종로구 창신동 615-62,37.58031674888889,127.00963144999999,,9,무료,0,0,0,0,0,0,0,0,0,0,0,0,seoul_site
2980886,낙원주차장(민영),민영,노외,미연계,종로구,종로구 낙원동 132-1,37.5724,126.989704,02-747-6494,12,유료,2000,30,1000,10,0,0,900,2100,900,2100,900,2100,seoul_site
3055783,너른(구.대륜)(민영),민영,노외,미연계,종로구,종로구 구기동 146-1,37.611392,126.957214,,205,유료,1000,30,1000,30,6000,0,800,2000,800,2000,800,2000,seoul_site
892756,노스게이트빌딩 주차장,민영,부설,미연계,종로구,종로구 적선동 66-0,37.57521016,126.97395565,,176,유료,2000,30,2000,30,,,0,2400,0,2400,0,2400,seoul_site
3078460,누상 공영주차장(구),공영,노외,미연계,종로구,종로구 누상동 166-50,37.58038,126.964695,02-2236-0052,36,유료,200,5,200,5,0,0,0,2400,0,2400,0,2400,seoul_site
2995605,대경빌딩 주차장,민영,부설,미연계,종로구,종로구 숭인동 1385-0,37.574339,127.022882,0,79,유료,3000,30,1000,10,24000,150000,700,2200,800,1900,900,1900,seoul_site
3215855,대성(민영),민영,노외,미연계,종로구,종로구 숭인동 266-17,37.5728918,127.0192494,,30,무료,,,,,,,0,0,0,0,0,0,seoul_site
3215844,대승(민영),민영,노외,미연계,종로구,종로구 연건동 37-0,37.5790241,127.0018641,,20,무료,,,,,,,0,0,0,0,0,0,seoul_site
2973905,대승주차장(민영),민영,노외,미연계,종로구,종로구 견지동 110-46,37.572851,126.982617,02-733-7686,21,유료,2000,30,2000,30,15000,0,730,2000,0,0,0,0,seoul_site
1441398,대신주차장(민영),민영,노외,미연계,종로구,종로구 관철동 44-4,37.56925543,126.9838611,02-735-0555,44,유료,3000,30,1000,10,0,180000,800,2130,800,2130,800,2130,seoul_site
3245922,대하주차장(민영),민영,노외,미연계,종로구,종로구 익선동 33-1,37.575265,126.988647,,10,유료,2500,30,2500,30,,,0,0,0,0,0,0,seoul_site
2925309,대학로 문화공간 주차장,민영,부설,미연계,종로구,종로구 동숭동 1-80,37.582281,127.003668,,34,유료,2500,60,2500,60,0,0,1030,2300,1030,2300,1030,2300,seoul_site
2876119,대학로 바탕골 주차장,민영,부설,미연계,종로구,종로구 동숭동 1-60,37.581891,127.00258,,10,유료,2000,30,2000,30,,0,800,2100,800,2100,800,2100,seoul_site
