faq_id,category,question,answer,source_org
FAQ_001,다발구역,종로구 내 불법주정차 단속이 가장 자주 일어나는 다발구역은 어디인가요?,"종로 관내 상가 밀집 지역, 혜화역/종로3가역 주변, 학원가 및 주요 버스정류장 인근이 대표적인 단속 다발구역입니다.",종로구청 교통지도과 - 주정차 단속 다발지역 현황
FAQ_002,다발구역,단속 다발구역에는 별도의 안내 표지판이 설치되어 있나요?,"네, 단속 다발구역 및 고정식 CCTV 설치 구간에는 운전자가 식별할 수 있도록 주정차 금지 표지판 및 안내 현수막이 설치되어 있습니다.",도로교통법 시행규칙 - 안전표지 설치기준
FAQ_003,다발구역,다발구역에서는 유예시간 없이 즉시 단속되나요?,"단속 다발구역 중 6대 절대 금지구역(보도, 횡단보도, 버스정류장 등)은 유예시간 없이 즉시 단속 대상이 됩니다.",행정안전부 - 불법주정차 주민신고제 지침
FAQ_004,다발구역,주말에도 단속 다발구역은 평일과 동일하게 단속하나요?,다발구역 및 안전 위협 구간은 주말·공휴일에도 계도 위주가 아닌 상시 단속이 실시될 수 있습니다.,종로구청 - 주말 및 공휴일 단속 운영지침
FAQ_005,다발구역,단속 다발구역 현황 목록은 어디서 확인할 수 있나요?,종로구청 누리집(홈페이지) 고시공고 및 주정차 단속 알림 서비스 앱에서 다발구역 및 CCTV 위치를 확인하실 수 있습니다.,종로구청 누리집 - 주차 정보 안내
FAQ_006,다발구역,전통시장 주변도 단속 다발구역에 해당하나요?,"전통시장 주변은 점심시간이나 명절 등 한시적 유예 구간을 제외하고, 통행 방해 시 단속될 수 있습니다.",종로구청 - 전통시장 주변 주정차 허용구역 고시
FAQ_007,다발구역,어린이보호구역 다발지역 단속 기준은 어떻게 되나요?,스쿨존 내 다발지역은 평일 08:00~20:00 동안 예외 없이 엄격 단속되며 과태료가 3배 부과됩니다.,도로교통법 시행령 별표6
FAQ_008,다발구역,다발구역에서 이동식 CCTV 차량 단속 주기는 어떻게 되나요?,이동식 단속 차량은 다발구역을 중심으로 수시 순찰하며 1차 포착 후 규정 시간 경과 시 2차 촬영으로 단속합니다.,서울시설공단 - 이동식 CCTV 단속 세칙
FAQ_009,다발구역,심야 시간대에도 다발구역 단속 조치가 이루어지나요?,"소방차 진입로, 인도, 교차로 모퉁이 등 위험 다발구역은 심야/새벽 시간대에도 24시간 단속될 수 있습니다.",종로구청 교통지도과 - 야간 단속지침
FAQ_010,다발구역,다발구역 내 상가 이용 시 잠시 주정차할 수 있는 방법이 있나요?,"근처 공영주차장이나 거주자우선주차장(나눔주차)을 이용하셔야 하며, 도로변 주정차 시 단속될 수 있습니다.",종로구 시설관리공단 - 주차장 이용 안내
FAQ_011,견인,어떤 경우에 차량이 즉시 견인 조치되나요?,"교통 소통에 현저한 장애를 주거나, 횡단보도·보도·소방시설 주변·어린이보호구역 등 안전을 위협하는 경우 즉시 견인됩니다.",도로교통법 제35조(주차위반 차의 견인 등)
FAQ_012,견인,내 차량이 견인되었는지 어디서 확인하고 찾을 수 있나요?,관할 견인차량 보관소 또는 종로구 시설관리공단(전화/누리집)을 통해 차량 보관 장소를 확인하실 수 있습니다.,종로구 시설관리공단 - 견인차량 보관소 안내
FAQ_013,견인,견인료와 보관료 금액 기준은 어떻게 되나요?,차량 차종(경형/소형/중형/대형) 및 이동 거리에 따른 견인료와 보관 시간당 보관료가 조례에 따라 부과됩니다.,서울특별시 정차·주차위반차량 견인 등에 관한 조례
FAQ_014,견인,견인된 차량을 찾으러 갈 때 필요한 서류는 무엇인가요?,"차량 소유자의 신분증과 운전면허증이 필요하며, 대리인 방문 시 대리인 신분증, 위임장, 차주 신분증 사본이 필요합니다.",종로구 견인차량보관소 - 반환 절차 안내
FAQ_015,견인,견인 이동 중 차량이 파손된 경우 보상을 받을 수 있나요?,견인 업체의 과실로 인한 파손 증명 시 견인 대행업체 손해배상 보험을 통해 보상 처리 가능합니다.,서울특별시 견인대행업체 운영 규정
FAQ_016,견인,과태료와 견인료는 한 번에 같이 납부해야 하나요?,"견인료 및 보관료는 차량 인수 시 보관소에 직접 납부해야 하며, 과태료는 추후 발송되는 고지서로 납부하실 수 있습니다.",종로구청 교통행정과 - 견인 비용 안내
FAQ_017,견인,운전자가 현장에 도착했는데 견인 작업 중이라면 견인을 중단시킬 수 있나요?,"견인차에 견인 고리가 연결되기 전이라면 현장 계도 후 견인이 중단될 수 있으나, 단속 과태료는 부과될 수 있습니다.",서울시 견인 업무 처리 지침
FAQ_018,견인,이륜차(오토바이)도 불법주차 시 견인 대상이 되나요?,"네, 보행자 통행을 심각하게 방해하는 이륜차 역시 단속 및 견인 조치 대상에 포함됩니다.",도로교통법 제35조 및 서울시 이륜차 단속기준
FAQ_019,견인,견인 보관료의 최대 부과 한도가 정해져 있나요?,보관료는 징수 상한선(예: 최대 50만 원 등 조례 기준)이 정해져 있으나 장기 체납 시 차령초과 폐차 또는 공매 처분될 수 있습니다.,서울특별시 정차·주차위반차량 견인 조례
FAQ_020,견인,부당한 견인이라고 생각될 때 견인료 환불 청구가 가능한가요?,단속 및 견인 조치가 위법/부당했음이 이의신청이나 의견진술 심의를 통해 인정되면 견인료 및 보관료가 환부됩니다.,질서위반행위규제법 및 조례 환부 규정
FAQ_021,이의신청,의견진술 기각 후 법원 재판을 받으려면 어떻게 해야 하나요?,의견진술 기각 통지 또는 과태료 부과 통지를 받은 날부터 60일 이내에 관할 구청에 서면으로 '이의신청'을 제출하셔야 합니다.,질서위반행위규제법 제20조(이의제기)
FAQ_022,이의신청,이의신청을 접수하면 절차가 어떻게 진행되나요?,"구청에서 관할 법원으로 사건을 이송하며, 관할 법원에서 비송사건절차법에 따라 과태료 재판(심리)을 진행합니다.",질서위반행위규제법 제21조(관할 법원에의 통보)
FAQ_023,이의신청,이의신청 기간(60일)이 지나면 어떻게 되나요?,60일이 지나면 과태료 부과 처분이 확정되어 더 이상 법원 재판을 청구할 수 없으며 가산금이 부과됩니다.,질서위반행위규제법 제20조 제1항
FAQ_024,이의신청,이의신청 진행 중에는 과태료를 내지 않아도 되나요?,"네, 이의신청이 관할 법원에 접수되어 재판이 진행되는 동안에는 과태료 징수 절차가 일시 정지됩니다.",질서위반행위규제법 제20조 제2항
FAQ_025,이의신청,이의신청서 양식은 어디서 받나요?,종로구청 누리집(민원서식 게시판)에서 다운로드하거나 구청 교통행정과에 방문하여 작성하실 수 있습니다.,종로구청 누리집 - 민원 서식함
FAQ_026,이의신청,법원 재판 결과에 불복할 경우 항소가 가능한가요?,"네, 법원의 과태료 약식명령 또는 결정에 불복하는 경우 통지받은 날부터 7일 이내에 정식재판 청구 또는 항고할 수 있습니다.",비송사건절차법 - 과태료 재판 규정
FAQ_027,이의신청,이의신청 접수 시 별도의 수수료나 재판 비용이 드나요?,이의신청 신청 자체는 무료입니다. 다만 재판 결과 패소 시 소송비용 부담 여부는 법원의 결정에 따릅니다.,질서위반행위규제법 - 재판 절차 안내
FAQ_028,이의신청,온라인으로도 이의신청 접수가 가능한가요?,"서울시 ETAX 시스템 또는 정부24, 구청 홈페이지 민원창구를 통해 온라인 이의신청 접수가 가능합니다.",서울시 ETAX 시스템 - 이의신청 안내
FAQ_029,이의신청,차량 소유자가 아닌 운전자가 이의신청을 할 수 있나요?,위임장과 차주의 인감증명서(또는 본인서명사실확인서)를 첨부하면 대리인 명의로 이의신청이 가능합니다.,종로구청 교통행정과 - 민원 대리 규정
FAQ_030,이의신청,이의신청과 의견진술의 차이점은 무엇인가요?,"의견진술은 과태료 부과 전 구청 자체 심의위원회에 신청하는 것이고, 이의신청은 부과 확정 후 법원 재판을 청구하는 절차입니다.",질서위반행위규제법 제16조 및 제20조
FAQ_031,단속완화,점심시간 주정차 단속 유예 시간과 대상 구역은 어떻게 되나요?,"점심시간 단속 유예는 11:30 ~ 14:00에 적용됩니다. 식당가 및 소상공인 밀집 구역 중심에 한하며, 6대 절대 불법주정차 금지구역은 제외됩니다.",종로구청 주차지적과 - 주정차 단속 안내
FAQ_032,단속완화,주말이나 공휴일에도 불법주정차 단속을 실시하나요?,"주말 및 공휴일에는 주택가나 관공서 주변 계도 위주로 단속이 완화되지만, 위험구역과 주민신고건은 정상 단속됩니다.",종로구청 교통지도과 - 주말 단속운영기준
